"","province","district","variable","value"
"7874","Phnom Penh","Dangkao","NL_VIIRS.M_201512_SUM",2308.09000108764
"7875","Takêv","Doun Kaev","NL_VIIRS.M_201512_SUM",86.0400001946836
"7876","Kep","Kaeb","NL_VIIRS.M_201512_SUM",72.7500000819563
"7877","Môndól Kiri","Kaev Seima","NL_VIIRS.M_201512_SUM",81.6999992243946
"7878","Prey Vêng","Kamchay Mear","NL_VIIRS.M_201512_SUM",42.7099998369813
"7879","Kâmpôt","Kampong Bay","NL_VIIRS.M_201512_SUM",155.289999684319
"7880","Kâmpóng Cham","Kampong Cham","NL_VIIRS.M_201512_SUM",293.470000309869
"7881","Kâmpóng Chhnang","Kampong Chhnang","NL_VIIRS.M_201512_SUM",128.899999631569
"7882","Kâmpóng Chhnang","Kampong Leaeng","NL_VIIRS.M_201512_SUM",21.4699997175485
"7883","Prey Vêng","Kampong Leav","NL_VIIRS.M_201512_SUM",86.3699996881187
"7884","Svay Rieng","Kampong Rou","NL_VIIRS.M_201512_SUM",89.8399997521192
"7885","Kaôh Kong","Kampong Seila","NL_VIIRS.M_201512_SUM",70.5199996605516
"7886","Kâmpóng Cham","Kampong Siem","NL_VIIRS.M_201512_SUM",89.369999786839
"7887","Tbong Khmum","Kampong Siem","NL_VIIRS.M_201512_SUM",1.13999998755753
"7888","Kâmpóng Thum","Kampong Svay","NL_VIIRS.M_201512_SUM",89.3599993996322
"7889","Prey Vêng","Kampong Trabaek","NL_VIIRS.M_201512_SUM",40.8999995458871
"7890","Kâmpôt","Kampong Trach","NL_VIIRS.M_201512_SUM",61.8399996608496
"7891","Kâmpóng Chhnang","Kampong Tralach","NL_VIIRS.M_201512_SUM",78.6899998690933
"7892","Kâmpôt","Kampot","NL_VIIRS.M_201512_SUM",279.399998987094
"7893","Kândal","Kandal Stueng","NL_VIIRS.M_201512_SUM",256.860000245273
"7894","Pouthisat","Kandieng","NL_VIIRS.M_201512_SUM",36.6799996607005
"7895","Kâmpóng Cham","Kang Meas","NL_VIIRS.M_201512_SUM",19.5699998084456
"7896","Prey Vêng","Kanhchriech","NL_VIIRS.M_201512_SUM",12.9599998369813
