"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"65","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.7_1","Rotanak Mondol","Rotonak Mondol",NA,"Srok","District",NA,"KH.BA.RM"
"66","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.8_1","Samlout",NA,NA,"Srok","District",NA,"KH.BA.ST"
"67","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.9_1","Sangkae",NA,NA,"Srok","District",NA,"KH.BA.SK"
"59","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.10_1","Svay Pao",NA,NA,"Srok","District",NA,NA
"118","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.1_1","Batheay",NA,NA,"Srok","District",NA,"KH.KM.BT"
"120","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.2_1","Chamkar Leu",NA,NA,"Srok","District",NA,"KH.KM.CL"
"121","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.3_1","Cheung Prey",NA,NA,"Srok","District",NA,"KH.KM.CP"
"122","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.4_1","Kampong Cham",NA,NA,"Srok","District",NA,"KH.KM.KP"
"123","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.5_1","Kampong Siem",NA,NA,"Srok","District",NA,"KH.KM.KS"
"124","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.6_1","Kang Meas",NA,NA,"Srok","District",NA,"KH.KM.KM"
"125","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.7_1","Kaoh Soutin",NA,NA,"Srok","District",NA,"KH.KM.KT"
"126","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.8_1","Prey Chhor",NA,NA,"Srok","District",NA,"KH.KM.PC"
"127","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.9_1","Srei Santhor",NA,NA,"Srok","District",NA,"KH.KM.SS"
"119","KHM","Cambodia","KHM.3_1","Kâmpóng Cham",NA,"KHM.3.10_1","Stueng Trang",NA,NA,"Srok","District",NA,"KH.KM.ST"
"128","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.1_1","Baribour",NA,NA,"Srok","District",NA,"KH.KG.BB"
"129","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.2_1","Chol Kiri",NA,NA,"Srok","District",NA,"KH.KG.CK"
"130","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.3_1","Kampong Chhnang",NA,NA,"Srok","District",NA,"KH.KG.KC"
"131","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.4_1","Kampong Leaeng",NA,NA,"Srok","District",NA,"KH.KG.KL"
"132","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.5_1","Kampong Tralach",NA,NA,"Srok","District",NA,"KH.KG.KT"
"133","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.6_1","Rolea B'ier",NA,NA,"Srok","District",NA,"KH.KG.RB"
"134","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.7_1","Sameakki Mean Chey",NA,NA,"Srok","District",NA,"KH.KG.SM"
"135","KHM","Cambodia","KHM.4_1","Kâmpóng Chhnang",NA,"KHM.4.8_1","Tuek Phos",NA,NA,"Srok","District",NA,"KH.KG.TP"
"136","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.1_1","Aoral",NA,NA,"Srok","District",NA,"KH.KS.AR"
"137","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.2_1","Basedth",NA,NA,"Srok","District",NA,"KH.KS.BS"
"138","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.3_1","Chbar Mon",NA,NA,"Srok","District",NA,"KH.KS.CM"
"139","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.4_1","Kong Pisei",NA,NA,"Srok","District",NA,"KH.KS.KP"
"140","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.5_1","Odongk",NA,NA,"Srok","District",NA,"KH.KS.OD"
"141","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.6_1","Phnum Sruoch",NA,NA,"Srok","District",NA,"KH.KS.PS"
"142","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.7_1","Samraong Tong",NA,NA,"Srok","District",NA,"KH.KS.SY"
"143","KHM","Cambodia","KHM.5_1","Kâmpóng Spœ",NA,"KHM.5.8_1","Thpong",NA,NA,"Srok","District",NA,"KH.KS.TP"
"144","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.1_1","Baray",NA,NA,"Srok","District",NA,"KH.KT.BR"
"145","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.2_1","Kampong Svay",NA,NA,"Srok","District",NA,"KH.KT.KS"
"146","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.3_1","Prasat Balangk",NA,NA,"Srok","District",NA,"KH.KT.PB"
"147","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.4_1","Prasat Sambour",NA,NA,"Srok","District",NA,"KH.KT.PS"
"148","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.5_1","Sandan",NA,NA,"Srok","District",NA,"KH.KT.SD"
"149","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.6_1","Santuk",NA,NA,"Srok","District",NA,"KH.KT.ST"
"150","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.7_1","Stoung",NA,NA,"Srok","District",NA,"KH.KT.SG"
"151","KHM","Cambodia","KHM.6_1","Kâmpóng Thum",NA,"KHM.6.8_1","Stueng Saen",NA,NA,"Srok","District",NA,"KH.KT.SS"
"152","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.1_1","Angkor Chey",NA,NA,"Srok","District",NA,"KH.KP.AC"
"153","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.2_1","Banteay Meas",NA,NA,"Srok","District",NA,"KH.KP.BM"
"154","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.3_1","Chhuk",NA,NA,"Srok","District",NA,"KH.KP.CH"
"155","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.4_1","Chum Kiri",NA,NA,"Srok","District",NA,"KH.KP.CK"
"156","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.5_1","Dang Tong",NA,NA,"Srok","District",NA,"KH.KP.DT"
"157","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.6_1","Kampong Bay",NA,NA,"Srok","District",NA,"KH.KP.KB"
"158","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.7_1","Kampong Trach",NA,NA,"Srok","District",NA,"KH.KP.KT"
"159","KHM","Cambodia","KHM.7_1","Kâmpôt",NA,"KHM.7.8_1","Kampot",NA,NA,"Srok","District",NA,"KH.KP.KP"
"160","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.1_1","Angk Snuol",NA,NA,"Srok","District",NA,"KH.KN.AS"
"163","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.2_1","Kandal Stueng",NA,NA,"Srok","District",NA,"KH.KN.KD"
"164","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.3_1","Kaoh Thum",NA,NA,"Srok","District",NA,"KH.KN.KT"
